index,bedroom_count,prompt,control_image,original_image,generated_image,edge_iou,chamfer_distance,edge_ssim,clip_similarity
41,2,Generate a 2 bedroom floor plan,/content/drive/MyDrive/processed_dataset/2 bedroom/2 bed 4.png,/content/drive/MyDrive/datafloor/2 bedroom/2 bed 4.png,/content/floor_plan_evaluation/test_0041.png,0.15354746286662144,1.5304276927979954,0.7056487915276637,0.31785184144973755
42,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat9_5.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat9_5.jpg,/content/floor_plan_evaluation/test_0042.png,0.15035437057036788,2.765974622013512,0.7612921654951016,0.30268603563308716
43,2,Generate a 2 bedroom floor plan,/content/drive/MyDrive/processed_dataset/2 bedroom/2 bed 13.png,/content/drive/MyDrive/datafloor/2 bedroom/2 bed 13.png,/content/floor_plan_evaluation/test_0043.png,0.12443584784010316,3.1532670736975668,0.7548270941385503,0.30126598477363586
44,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat12_4.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat12_4.jpg,/content/floor_plan_evaluation/test_0044.png,0.1856519393909675,2.1195883115924605,0.7610307046038467,0.3121306598186493
45,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/3 bed 38.png,/content/drive/MyDrive/datafloor/3 bedroom/3 bed 38.png,/content/floor_plan_evaluation/test_0045.png,0.16451211337738197,2.6135259008363323,0.7301903105884558,0.3112063407897949
46,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat40_1.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat40_1.jpg,/content/floor_plan_evaluation/test_0046.png,0.11007891319548496,5.90706869182782,0.7105577989500474,0.3094913959503174
47,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat43_7.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat43_7.jpg,/content/floor_plan_evaluation/test_0047.png,0.11441254809115123,7.989530883933191,0.7776808125760122,0.281696617603302
48,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat2_1.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat2_1.jpg,/content/floor_plan_evaluation/test_0048.png,0.14890227510330065,2.671160348434082,0.7760616055903173,0.3130089044570923
49,1,Generate a 1 bedroom floor plan,/content/drive/MyDrive/processed_dataset/1 bedroom/1 bed 9.png,/content/drive/MyDrive/datafloor/1 bedroom/1 bed 9.png,/content/floor_plan_evaluation/test_0049.png,0.1017170891251022,5.094703229157233,0.82878011136211,0.3014995753765106
50,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat24_1.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat24_1.jpg,/content/floor_plan_evaluation/test_0050.png,0.1450162116933375,3.408390990631019,0.751643103601961,0.31477588415145874
51,1,Generate a 1 bedroom floor plan,/content/drive/MyDrive/processed_dataset/1 bedroom/1 bed 10.png,/content/drive/MyDrive/datafloor/1 bedroom/1 bed 10.png,/content/floor_plan_evaluation/test_0051.png,0.11947776993648554,3.0610881398111296,0.8104593870431734,0.3208950459957123
52,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat41_1.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat41_1.jpg,/content/floor_plan_evaluation/test_0052.png,0.10212611302925677,5.030329674566164,0.762069931238451,0.2942236065864563
53,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat24_8.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat24_8.jpg,/content/floor_plan_evaluation/test_0053.png,0.13277775176740483,4.520191393855472,0.7170730113296712,0.26022565364837646
54,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat45_2.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat45_2.jpg,/content/floor_plan_evaluation/test_0054.png,0.06357463770563794,14.798766350238957,0.5204259876852211,0.3017144799232483
55,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat34_2.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat34_2.jpg,/content/floor_plan_evaluation/test_0055.png,0.1523826945943474,4.294289290396068,0.7119151157298321,0.2966485023498535
56,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat20_4.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat20_4.jpg,/content/floor_plan_evaluation/test_0056.png,0.09589561091340451,4.596090318418467,0.7303662156170893,0.30431410670280457
57,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat16_6.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat16_6.jpg,/content/floor_plan_evaluation/test_0057.png,0.1653173765106183,2.7114119481369374,0.7932156563817067,0.3244349956512451
58,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat11_6.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat11_6.jpg,/content/floor_plan_evaluation/test_0058.png,0.1698187549251379,4.703865925698343,0.7737015776068621,0.3005887567996979
59,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat21_2.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat21_2.jpg,/content/floor_plan_evaluation/test_0059.png,0.12052816740530908,3.692627004414543,0.7196246078374656,0.3069596290588379
60,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat43_8.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat43_8.jpg,/content/floor_plan_evaluation/test_0060.png,0.12117617680109877,5.727426720415461,0.7853576284587799,0.3024904429912567
61,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat35_7.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat35_7.jpg,/content/floor_plan_evaluation/test_0061.png,0.12483103788404633,12.722781761154721,0.6118839246496922,0.3179936707019806
62,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat45_10.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat45_10.jpg,/content/floor_plan_evaluation/test_0062.png,0.1476629766297663,4.1753904748509205,0.7822860158826194,0.3015367090702057
63,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat28_1.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat28_1.jpg,/content/floor_plan_evaluation/test_0063.png,0.20826722338204592,2.0877144671816783,0.7305977978016669,0.30138295888900757
64,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat2_6.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat2_6.jpg,/content/floor_plan_evaluation/test_0064.png,0.1517394934595046,2.3785630858237345,0.7725348663221152,0.29273730516433716
65,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat38_8.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat38_8.jpg,/content/floor_plan_evaluation/test_0065.png,0.12322167431842657,4.865272293831761,0.766128366989497,0.2932848036289215
66,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat19_2.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat19_2.jpg,/content/floor_plan_evaluation/test_0066.png,0.14424887048192772,2.606283506763383,0.7329695860037773,0.3066254258155823
